ID,Lat,Lng,District,County,Fwy,Lanes,Type,Direction,ID2
404356,38.015867,-122.182664,4,Contra Costa,SR4-E,2,Mainline,E,480
402518,38.015347,-122.179054,4,Contra Costa,SR4-E,2,Mainline,E,481
402516,38.006871,-122.166606,4,Contra Costa,SR4-E,2,Mainline,E,482
402214,38.001498,-122.150137,4,Contra Costa,SR4-E,2,Mainline,E,483
402212,37.995777,-122.144977,4,Contra Costa,SR4-E,2,Mainline,E,484
402210,37.989935,-122.139741,4,Contra Costa,SR4-E,2,Mainline,E,485
402835,37.99036,-122.131008,4,Contra Costa,SR4-E,2,Mainline,E,486
414294,37.991042,-122.127995,4,Contra Costa,SR4-E,2,Mainline,E,487
414295,37.993914,-122.121913,4,Contra Costa,SR4-E,3,Mainline,E,488
402513,37.995545,-122.119103,4,Contra Costa,SR4-E,3,Mainline,E,489
414025,37.996141,-122.117435,4,Contra Costa,SR4-E,3,Mainline,E,490
402512,37.996353,-122.113433,4,Contra Costa,SR4-E,3,Mainline,E,491
402510,37.99419,-122.10704,4,Contra Costa,SR4-E,3,Mainline,E,492
414028,37.990892,-122.098451,4,Contra Costa,SR4-E,3,Mainline,E,493
416736,37.990758,-122.097928,4,Contra Costa,SR4-E,3,Mainline,E,494
414031,37.990569,-122.092837,4,Contra Costa,SR4-E,3,Mainline,E,495
402837,37.991002,-122.086497,4,Contra Costa,SR4-E,3,Mainline,E,496
401952,37.992177,-122.076479,4,Contra Costa,SR4-E,2,Mainline,E,497
414032,37.992589,-122.07532,4,Contra Costa,SR4-E,2,Mainline,E,498
406623,37.993989,-122.071289,4,Contra Costa,SR4-E,3,Mainline,E,499
405046,37.995123,-122.067914,4,Contra Costa,SR4-E,2,Mainline,E,500
414039,37.998268,-122.060378,4,Contra Costa,SR4-E,2,Mainline,E,501
405270,38.001389,-122.050932,4,Contra Costa,SR4-E,2,Mainline,E,502
402207,38.002161,-122.047775,4,Contra Costa,SR4-E,2,Mainline,E,503
405580,38.007657,-122.0321,4,Contra Costa,SR4-E,3,Mainline,E,504
414480,38.00914,-122.024998,4,Contra Costa,SR4-E,5,Mainline,E,505
400615,38.010295,-122.017437,4,Contra Costa,SR4-E,4,Mainline,E,506
402205,38.011347,-122.010573,4,Contra Costa,SR4-E,4,Mainline,E,507
401568,38.013247,-121.998502,4,Contra Costa,SR4-E,4,Mainline,E,508
400049,38.014622,-121.994448,4,Contra Costa,SR4-E,4,Mainline,E,509
406056,38.018609,-121.98725,4,Contra Costa,SR4-E,5,Mainline,E,510
407233,38.021173,-121.981491,4,Contra Costa,SR4-E,5,Mainline,E,511
406057,38.023532,-121.97444,4,Contra Costa,SR4-E,5,Mainline,E,512
405269,38.023366,-121.968953,4,Contra Costa,SR4-E,4,Mainline,E,513
